S&P 500 Index | Price History                                          17-Nov-2021 01:14,,,,,,,
,,,,,,,
,,,,,,,
.SPX,,,,,,,
Interval: Daily,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,
Currency Conversion: USD,,,,,,,
,,,,,,,
,,,,,,,
.SPX Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,"4,718.50",05-Nov-2021,Up,716,Up,+9.38%,24-Mar-2020
Low,"2,172.20",16-Nov-2016,Down,541,Down,-11.98%,16-Mar-2020
Avg,"3,060.78",,Unch,1,Period,+115.94%,16-Nov-2016 - 16-Nov-2021
,,,,,,,
,,,,,,,
.SPX History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
26-Sep-2017,"2,496.84",+0.18,+0.01%,"2,501.04","2,495.12","2,503.51",
25-Sep-2017,"2,496.66",-5.56,-0.22%,"2,499.39","2,488.03","2,502.54",
22-Sep-2017,"2,502.22",+1.62,+0.06%,"2,497.26","2,496.54","2,503.47",
21-Sep-2017,"2,500.60",-7.64,-0.30%,"2,507.16","2,499.00","2,507.16",
20-Sep-2017,"2,508.24",+1.59,+0.06%,"2,506.84","2,496.67","2,508.85",
19-Sep-2017,"2,506.65",+2.78,+0.11%,"2,506.29","2,503.19","2,507.84",
18-Sep-2017,"2,503.87",+3.64,+0.15%,"2,502.51","2,499.92","2,508.32",
15-Sep-2017,"2,500.23",+4.61,+0.18%,"2,495.67","2,493.16","2,500.23",
14-Sep-2017,"2,495.62",-2.75,-0.11%,"2,494.56","2,491.35","2,498.43",
13-Sep-2017,"2,498.37",+1.89,+0.08%,"2,493.89","2,492.14","2,498.37",
12-Sep-2017,"2,496.48",+8.37,+0.34%,"2,491.94","2,490.37","2,496.77",
11-Sep-2017,"2,488.11",+26.68,+1.08%,"2,474.52","2,474.52","2,488.95",
08-Sep-2017,"2,461.43",-3.67,-0.15%,"2,462.25","2,459.40","2,467.11",
07-Sep-2017,"2,465.10",-0.44,-0.02%,"2,468.06","2,460.29","2,468.62",
06-Sep-2017,"2,465.54",+7.69,+0.31%,"2,463.83","2,459.20","2,469.64",
05-Sep-2017,"2,457.85",-18.70,-0.76%,"2,470.35","2,446.55","2,471.97",
01-Sep-2017,"2,476.55",+4.90,+0.20%,"2,474.42","2,473.85","2,480.38",
31-Aug-2017,"2,471.65",+14.06,+0.57%,"2,462.65","2,462.65","2,475.01",
30-Aug-2017,"2,457.59",+11.29,+0.46%,"2,446.06","2,443.77","2,460.31",
29-Aug-2017,"2,446.30",+2.06,+0.08%,"2,431.94","2,428.20","2,449.19",
28-Aug-2017,"2,444.24",+1.19,+0.05%,"2,447.35","2,439.03","2,449.12",
25-Aug-2017,"2,443.05",+4.08,+0.17%,"2,444.72","2,442.22","2,453.96",
24-Aug-2017,"2,438.97",-5.07,-0.21%,"2,447.91","2,436.19","2,450.39",
23-Aug-2017,"2,444.04",-8.47,-0.35%,"2,444.88","2,441.42","2,448.91",
22-Aug-2017,"2,452.51",+24.14,+0.99%,"2,433.75","2,433.67","2,454.77",
